SKU_A,SKU_B,Pearson_r
SF1340L8,SFPUG111T6,"1,0"
SF1340L8,SFPUG111T8,"1,0"
SF1340S6,SFPUG111T9,"1,0"
SFPUG111T6,SFPUG111T8,"1,0"
SFPUG111T6,SFPUG111T7,"1,0"
SF1340XS5,SFPUG111T9,"1,0"
SF1340L8,SF1340M7,"1,0"
SF1340XS5,SFPUG111T8,"1,0"
SF1340XS5,SFPUG111T7,"1,0"
SF1340L8,SF1340S6,"1,0"
SF1340L8,SF1340XS5,"1,0"
SF1340L8,SFPUG111T7,"1,0"
SF1340L8,SFPUG111T9,"1,0"
SFPUG111T7,SFPUG111T9,"1,0"
SF1340M7,SF1340S6,"1,0"
SF1340M7,SF1340XS5,"1,0"
SF1340M7,SFPUG111T6,"1,0"
SF1340M7,SFPUG111T7,"1,0"
SF1340M7,SFPUG111T8,"1,0"
SF1340M7,SFPUG111T9,"1,0"
SF1340S6,SF1340XS5,"1,0"
SF1340S6,SFPUG111T6,"1,0"
SF1340S6,SFPUG111T7,"1,0"
SF1340XS5,SFPUG111T6,"1,0"
SFPUG111T7,SFPUG111T8,"1,0"
SFPUG111T6,SFPUG111T9,"1,0"
SF1340S6,SFPUG111T8,"1,0"
SFPUG111T8,SFPUG111T9,"1,0"
ME6632M,PIP33-BLK125BPS,"0,9905"
ME6632L,PIP33-BLK125BPS,"0,9899"
ME6632L,ME6632M,"0,9843"
PIP33-BLK125BPL,PIP33-BLK125BPM,"0,9831"
ME6632XL,PIP33-BLK125BPS,"0,9796"
PIP33-BLK125BPM,PIP33-BLK125BPS,"0,9789"
PIP33-BLK125BPM,UVS4040,"0,9781"
ME6632M,ME6632XL,"0,9759"
ME6632XL,PIP33-BLK125BPXS,"0,9739"
ME6632L,PIP33-BLK125BPM,"0,9686"
PIP33-BLK125BPL,UVS4040,"0,9669"
AN11-250,UVS4040,"0,9653"
PIP33-BLK125BPS,UVS4040,"0,964"
ME6632L,ME6632XL,"0,9618"
3M1292TY,PIP33-BLK125BPS,"0,9612"
3M1292TY,PIP33-BLK125BPM,"0,9597"
3M1292TY,UVS4040,"0,9594"
ME6632M,PIP33-BLK125BPM,"0,9592"
AN48-129T8,AN48-129T9,"0,959"
AN48-129T7,AN48-129T9,"0,9588"
PIP33-BLK125BPS,PIP33-BLK125BPXS,"0,958"
