,3M1292TY,3M501,3M5N11,3M6200,3m6001PR,AE82501,AN11-250,AN11840-10,AN11840-7,AN11840-8,AN11840-9,AN16-650T9,AN23-201T9,AN37-175T10,AN48-129T10,AN48-129T7,AN48-129T8,AN48-129T9,CR2310AF,CRST1130,DUNB127SXL,GECS826TL,GIA2005B,JYG37510,JYR-1521M,JYR-2004AM,JYR-2004AZ,JYR-2004B,JYR-2004N,JYR-2004R,ME6632L,ME6632M,ME6632XL,ME9683L,ME9683M,ME9683S,MESX200LH,MESX9378KCTV,MESX9667L,MOM2700,MRSR-1060NJTL,PIP33-BLK125BPL,PIP33-BLK125BPM,PIP33-BLK125BPS,PIP33-BLK125BPXS,PIP42-874,PMKN95B,RA99705,SACFCB02,SF1340L8,SF1340M7,SF1340S6,SF1340XS5,SFGG805PFL,SFPUG09VMT,SFPUG111T6,SFPUG111T7,SFPUG111T8,SFPUG111T9,SFPUG111VMT,SFPUG611VMT,SFT601,SPS3960HS,SPS700HS,SRCRC12,SRCRCL,SRESM60V,SRMAM,SRPEC60X90TY,SRPM60X90,UVS4040,UVSVP400,UVSVP401,XAGRPCFCGIS,XAPERC,XAPOKGIS,XESB60R,XGNRON,XS3M501,XS3M5N11,XS3M6003-TY,XS3M6004TY,XS3M7093TY,XS3M7502TY,XSAE82509TY,XSAE82701
3M1292TY,"1,0","0,23323977839591323","0,08964468197385653","0,03798042674709353","0,14325553602034358","0,34117431020926203","0,5792952004192182","0,06639425684137813","0,0026519666299008385","0,011382237933113989","0,03774226905300217","0,29711539229410316","-0,4504788311621748","0,18887247353594103","0,06231322354813714","0,16281074379334606","0,08294854701948502","0,281451909503679","0,2384215425448913","0,6347297404367594","0,2506856764553785","0,2194558140745622","0,5030178460336734","0,8242284813791875","0,458975826288309","-0,05417971304492393","0,35350544940488443","-0,009389675788637586","0,14451400180827792","0,3491687331619792","0,7786566327197368","0,517691383531771","0,1798166098625172","0,2683646533856395","0,832697386832297","0,5516809817291951","0,9089688428153012","0,22666260646472713","0,6403280614747107","0,7907322314837699","0,39459021225455204","0,6714209749842661","0,2966671542370755","0,26626083051578003","0,3867717989549122","0,6244835348530068","0,4355369500244882","0,33079802033799843","0,08186335842493453",,,,,"0,29871609101928837","0,6455550088344291",,,,,"0,6190500369041931","0,6290631352911316","-0,1703489763152708","0,14877857225563404","0,22251117756905953","0,4961532212402691","0,2191572143803118","-0,0016363584131998963","0,47103450843631645","0,3606451959399234","0,521110627984419","0,017057711803240144","0,7836751678433476","0,20873364000158115","0,37472854609325557","0,20354996899335398","0,12102794332036519","0,4006198646732143","-0,037680499048114394","-0,07300389240526627","0,3397436463026623","0,17190014296468292","0,284297411330086","0,5549986036843161","0,15528584799894574","0,398724121296625","0,6506270130923028"
3M501,"0,23323977839591323","1,0","0,586204782438081","0,6393533666442861","0,6167178471601532","0,5193138240743898","0,7800697491408655","-0,11580859607574767","-0,180457954017181","-0,18021280136582668","-0,15673517064412484","0,14727267586445875","0,05981599625581119","0,307658142469742","0,011228903792301929","0,03932776875134474","0,04676564411027176","0,10595647219826863","0,17156427446161412","0,7122904432035726","0,15368298245578318",,"0,16608226423288455","0,19596677764049883","0,34854258595475124","0,08649485483226571","0,2005449001587856","-0,1047710195211622","0,10295783189521686","-0,19030184853288357","0,4736426627443363","0,6726057327158224","0,6524417240398119","0,2340856446632328","0,26645831249458923","0,12237630043468768","0,32350229623644294","-0,0030525250310287255","0,21811456722353573","0,239966965249958","0,16885083043306787","0,48713952024132967","0,4802755647386272","0,4123382363076849","0,39841770109551056","0,24131255075572525","0,20985354228558026","0,06776769091414374","0,3963672020292972",,,,,"0,3504790437585615","0,28501465652986707",,,,,"0,28835049958572045","0,3870446875299572","0,3507037314735601","-0,03131532385492003","0,6922865612281056","-0,29341977571592504","0,08203902559778027","0,48345543578911104","0,10501513728734721","0,10045148757343893","0,38607908713068145","0,5910817672910236","0,13891572634010382","0,444106537613005","0,38188347004627743","0,3854577869015941","0,1853452575349191","0,28464180129871525","-0,19953896843794702","-0,05384934729479837","0,23926955080731016","0,02477387289794647","0,39835091895263053","0,26051793753852787","0,050286092908668006","0,14487956306027258","0,11788276310195882"
3M5N11,"0,08964468197385653","0,586204782438081","1,0","0,6551061701761042","0,9096881016686528","0,1555519946900953","-0,12860219366898823","0,22212760547624538","0,12123826568580677","0,12453908567336856","0,1415574638982529","0,16756456632711217","-0,06964664824568946","-0,09732682108823769","0,4123917956825158","0,24661593985930327","-0,09669227760308338","0,17366492170901085","0,05910291743367491","0,04680598919586655","-0,14031769980597422",,"-0,0016020434702633522","0,12447457232838897","0,20548414589641054","0,24129216838063583","0,10265033090512793","-0,18310882685918456","-0,2697469863436385","-0,15104410238555394","0,06002658985694612","-0,01700322441227999","-0,13631829908172333","0,0063031402156919795","-0,02669289736795629","-0,04790520151797065","0,04850897002577346","0,13661306664738782","0,18871523806519042","0,09245906660443134","0,03734830021413451","-0,02581593768111385","-0,188721821491493","-0,18624309934620178","0,11683220611974747","0,09152240531262391","0,07528041722835285","0,16611885043854024","0,15764010954188926",,,,,"0,09648472002918378","0,16360802661545742",,,,,"0,1399406229226891","0,2123192776498434","0,3528379473009617","0,13880636288267814","0,5170231563147568","-0,29730337976563187","-0,07960918279118251","0,577822381294825","0,009079830718656614","0,16921182337520912","0,28816307887207177","-0,16314126274879392","0,019370417360378523","-0,1969176323275858","-0,004687326437188238","0,3930968385347753","-0,04266230282708253","-0,11916644295912214","-0,1889646791312362","0,13246694965098027","0,12087305541955255","0,10718470581876818","0,036197730085576627","0,1946664586995923","0,12990488726281277","0,09322135486777126","0,1543176276835273"
3M6200,"0,03798042674709353","0,6393533666442861","0,6551061701761042","1,0","0,6048998459488636","0,33144566981322177","0,3399422180326223","0,2036271670483812","0,12151484749946018","0,1404782897077648","0,12671104684768103","-0,07622806382400674","0,16638899696708526","0,15140682039600853","0,26405095639661347","0,3934063775026867","-0,23823822466890152","0,3752813669499545","0,08872409697307158","0,03036056870355128","0,04786298224470476",,"0,39346437003033924","0,10203074241621488","0,2611535795767878","0,4304335890127478","0,05059441388981479","0,011585097649109258","0,03802697795249104","-0,20874332546193225","0,05178938905674093","0,02067462311436078","-0,08416551445072405","0,20702479505803287","0,003086432585000885","-0,039817582615541275","0,12592515083174574","0,12835231523813653","0,37440962794403193","0,13246705640061085","0,03200443325081817","0,1350909903515982","0,21833358508708817","0,20617671666260623","-0,07365258977822438","0,17327285191548494","0,1955324896445322","0,31220433702716094","0,18161306938338548",,,,,"0,32648843621147844","0,3734617641828242",,,,,"0,3972481805243545","0,39833406118562203","0,3941544281944771","-0,06256405179640913","0,6413564603600028","-0,23430657013602837","0,12149682497820859","0,7785386655149854","0,031937617072331115","0,05822887990583995","0,2569287344385652","-0,08057096238833202","0,049855060031892766","0,2052019210757062","0,012954412873323032","0,3250641116949169","-0,0034062976171821088","-0,019201442750765407","-0,055736048099169724","0,08569538025409151","0,3137368483354436","-0,010250432636274886","0,08864615540494165","0,15832211322129597","0,018204755359383526","-0,031824363864688114","0,007968678998495316"
3m6001PR,"0,14325553602034358","0,6167178471601532","0,9096881016686528","0,6048998459488636","1,0","0,19562762722525356","0,07541746387680581","0,2827122574583005","0,17600726697928612","0,17934408900914234","0,20628549929781886","0,03161722402549626","-0,07246383518214511","0,034904462191713996","0,27260793628331875","0,1897581354173897","-0,11062748093850032","0,3106687759770697","0,13179632786006545","0,09070340437748171","-0,0632637951389251",,"0,04383904940457994","0,19841604419374032","0,24619352930307334","0,15797658152041227","0,10613558631395333","-0,19921354832828087","-0,14022577991533086","-0,313798065787678","0,09119787055451317","0,03822889935777299","-0,07018764917265316","0,08886812606185783","0,05486499212129957","-0,022609470664742407","0,12879450775388784","0,27530312711862615","0,22656610782431352","0,10611402687806838","0,10111628751144347","0,1035642859084566","0,004994553875575719","-0,00744331479739881","0,018271243588185423","0,10523139436236637","0,06339339108583264","0,13985779358623388","0,16507475557052526",,,,,"0,14327856085757262","0,215993008656383",,,,,"0,17704176750925085","0,25531548097273027","0,4600635940995265","0,17964808876228266","0,4887980336081625","-0,34594490430580277","-0,17566925593846786","0,4593225283852087","0,09762934318145812","0,1991531185937804","0,420051012851614","-0,10717022546494656","0,0902085540873022","-0,01515937002312883","0,06116985520852301","0,365210214236733","-0,09267627839539098","-0,02101045243605594","-0,17994481690487638","0,2532304613363688","0,23665993095516424","0,09262451064541448","0,043250009221778254","0,2114830069302428","0,1164089785307062","0,06649553424255521","0,17691001179597726"
AE82501,"0,34117431020926203","0,5193138240743898","0,1555519946900953","0,33144566981322177","0,19562762722525356","1,0","0,45709459911193057","-0,15066194071897182","-0,11267442204573556","-0,10749433665389886","-0,10839486068382874","-0,05728342236832183","-0,13779535987923022","0,2856144270287183","-0,12431040178704615","0,08131385189740693","-0,019035832605863636","0,03845960924768271","0,3372577240247222","0,2912032868150941","0,24406216838230724",,"0,5379370697020521","0,45346228964941193","0,8251193956226137","0,08140136512518872","0,666693940447051","0,3003186612849849","0,6807384200088272","-0,18304440564650928","0,14685418931692337","0,2351691197687458","0,17394163141419514","0,3952665661282617","0,41202721701631484","0,2202677953297581","0,4897798053140725","0,1321477472635163","0,38270382443633266","0,5289941442288554","0,7231408985678851","0,299222315801884","0,2490025436443578","0,15834018263456828","-0,05109410005457228","0,17017168109111586","0,6805580024467517","-0,009343093181533904","0,6469546041793469",,,,,"0,9486970958955312","0,6085293086675609",,,,,"0,5915571364590244","0,682175252390078","0,34442147884973334","-0,10704592549646412","0,455841588022952","-0,25300496746589146","0,04539828993534179","0,14368928104019507","0,45722164347356636","0,6370445993181463","0,5307796309456789","0,16617493417210033","0,4923640109815699","0,25872339086678364","0,800511146590648","0,23128642762122184","0,11542567005076396","0,32682558469366435","-0,2107374342130985","-0,01780321684067308","0,42797965462138016","0,3614898756959257","0,21088120011227277","0,32046973833207126","0,473191210345886","0,3731351372830527","0,5624217786033018"
AN11-250,"0,5792952004192182","0,7800697491408655","-0,12860219366898823","0,3399422180326223","0,07541746387680581","0,45709459911193057","1,0","0,08007226205607379","0,00221936734076023","0,00391148068832212","0,028142028377849557","-0,026833134092936802","-0,9885510225061803","0,572691376480792","-0,03214482824441151","0,019974998050630972","-0,06959048587154641","0,12455475814918296","0,26536705200041255","0,49396213685015083","0,4795435206697524",,"0,32136789934622045","0,6286515685977526","0,505090540444502","-0,07289077616430843","0,5312793070784472","0,038180416240288256","0,6700768550808025","0,4734170467229347","0,5128603865954768","0,4126441988095248","0,5571389675048495","0,5766788643890142","0,6107365050552014","0,5044946506886019","0,6326822539276474","-0,046408368157860494","0,5385324278077139","0,5875191341496965","0,42932534950673906","0,7029550144579488","0,6329954547782121","0,47634271398693057","0,08602764589198698","0,5307196756493613","0,6304742252826","0,10173833108631486","0,5699857176375502",,,,,"0,4408503040272797","0,5681822490390259",,,,,"0,5377049060197822","0,5601838025946542",,"0,015960841236692648","0,7691933223729073","0,30842648998957745","0,44790961192085865","0,46669099363815947","0,4754445737629099","0,5653644334955459","0,4389903110805784","0,6615230490574221","0,5346026601178278","0,48647288250575677","0,5515704810589114","0,3568676939061875","0,5355157134149081","0,4102938035665495","-0,13074057323430474","-0,1621515910823154","0,21271434777998424","0,3916128682369347","0,6341403052024253","0,20780137153323064","0,5140781311177531","0,480915073241233","0,42219232935786916"
AN11840-10,"0,06639425684137813","-0,11580859607574767","0,22212760547624538","0,2036271670483812","0,2827122574583005","-0,15066194071897182","0,08007226205607379","1,0","0,9958592296938702","0,9956559123947422","0,9967919323816389","0,02701607650758081",,"0,010561792026582927","0,245671081737412","-0,03415358699100684","-0,11565583748474736","-0,05838836408460214","0,3078991086169107","0,29175703775748485","-0,1361492985567212",,"0,055024451876095275","0,055971509135391215","0,002636834483652047","-0,21043352364591678","-0,003943887922027966","-0,1638286607948626","0,3684570430776495","-0,33479784801926554","-0,012418736439003885","0,034262700209035074","0,05081739479018726","0,04752640488675237","0,06736143926552877","0,2254221910581064","0,024408858461721677","0,1265335324391319","0,09500386758655471","0,08684306527994723","0,12857286859370354","0,10325624481926012","-0,01480237306264695","0,0800235589620633","0,07502477727992764","-0,09869725631931373","0,09897481083460317","-0,16135738126251967","-0,05761443302371978",,,,,"0,21282492224516947","0,07810221701618468",,,,,"0,057134681281584436","0,15668752277007236",,"0,796810333789059","0,22223784595783144",,,"0,10845290582842325","0,05155509572717239","0,13958785793505238","0,4522466593583334","0,10684977417670918","0,01358960520170949","0,15403176935206603","-0,06092464563605224","0,09273750512340717","0,512114347052281","0,029355161921221208","-0,2990369940518127","0,07078962014164462","0,24778249635110336","-0,013007478449046872","0,07472421344706588","-0,03597656990130458","0,09949955392047465","0,0957330603624374","0,007395040982915095"
AN11840-7,"0,0026519666299008385","-0,180457954017181","0,12123826568580677","0,12151484749946018","0,17600726697928612","-0,11267442204573556","0,00221936734076023","0,9958592296938702","1,0","0,999226433425425","0,9980800600026305","0,014641065649502702",,"-0,06610337516337496","0,15079035496580784","-0,03011225394558517","-0,06752780730257961","0,13609041037680455","0,26882455438427594","0,22875676110262383","-0,14742691296763002",,"-0,0026766395008926726","-0,03082818748595168","-0,08694072842035165","-0,2186659929259493","-0,10690346275984616","-0,17264112133350737","0,21871949536498533","-0,2729280766220206","-0,07008082648167555","-0,032125297957928754","0,001882532894577556","-0,011921478066141534","-0,0147349122297266","0,13090827323674858","-0,05267575702974309","0,0368589405471769","0,015453624674266694","0,0020549449454337404","0,020293229896331946","0,053012554878525645","-0,07167640711910961","0,030630805588915126","0,05862293931892658","-0,13963685500052442","-0,01137639108581618","-0,22453076749687756","-0,11323029217384353",,,,,"-0,015185330349491552","-0,02154392871893212",,,,,"-0,02550203792701502","0,029987502343500574",,"0,7459374919825452","0,10624550577654496",,,"0,043110238649783306","-0,02028948607051743","0,024612104722480637","0,3247830257879247","0,07321429806391948","-0,06551694863701552","0,07809460120659972","-0,1175301074252869","0,03491776390830535","0,46116310352887147","-0,030592482572935387","0,09979614434522215","-0,0022695215204980974","0,13843114257273864","-0,08851869316957983","0,00011870774686808397","-0,11294249307068115","0,0054944357819962765","0,027115327697262843","-0,08104610955384514"
AN11840-8,"0,011382237933113989","-0,18021280136582668","0,12453908567336856","0,1404782897077648","0,17934408900914234","-0,10749433665389886","0,00391148068832212","0,9956559123947422","0,999226433425425","1,0","0,9977078593250999","0,018477275572706953",,"-0,05688198192457157","0,6621510380046177","0,6451034543990157","-0,08447309913000713","0,7109403360049257","0,2851902279573378","0,23821647567351342","-0,1333720182296957",,"0,02120331166748207","-0,017916492245164395","-0,07922707868859609","-0,21499172696029945","-0,09716412928899076","-0,1557406783511959","0,4305723129063143","-0,2760511491587419","-0,05616945396988917","-0,019220466336686275","0,0018018644739036355","-0,007080969550738312","-0,005980649410385572","0,1398056789830314","-0,04118062240229527","0,05234574515338639","0,04057397534694985","0,012943327527414148","0,02992463224620251","0,05851225347109779","-0,06787008522794882","0,03987849126808712","0,06362760076931862","-0,1296219608155997","0,004399110656394978","-0,18402510731483762","-0,10223345172506483",,,,,"-0,010011167702882405","-0,00172816400115802",,,,,"-0,0040206268749784415","0,048190615677409065",,"0,7445461919003232","0,11563353315914214",,,"0,05209099177031362","-0,015939759354861284","0,026689141758760557","0,3340242379521285","0,08342256330566328","-0,05534421105817081","0,09141825302204257","-0,11272054571196397","0,042454174492221664","0,46042444845707553","-0,02880746399748932","0,08517687984597239","0,00838969096134578","0,14555961242752344","-0,07785243854244056","0,001351823143661188","-0,11403544372068539","0,011737329187254238","0,034972356343516434","-0,07216296616979344"
