SKU_A,SKU_B,dominant_lag,max_abs_r
AN11840-7,AN11840-8,0,"0,9992"
AN11840-7,AN11840-9,0,"0,9981"
AN11840-8,AN11840-9,0,"0,9977"
AN11840-10,AN11840-9,0,"0,9968"
AN11840-10,AN11840-7,0,"0,9959"
AN11840-10,AN11840-8,0,"0,9957"
PIP33-BLK125BPM,PIP33-BLK125BPS,0,"0,9946"
SFPUG09VMT,SFPUG111VMT,0,"0,9924"
PIP33-BLK125BPS,UVSVP401,0,"0,9923"
PIP33-BLK125BPM,UVSVP401,0,"0,9889"
UVS4040,UVSVP401,-2,"0,9785"
ME6632XL,UVS4040,0,"0,9784"
ME6632XL,UVSVP401,-2,"0,9752"
PIP33-BLK125BPM,UVS4040,2,"0,9738"
PIP33-BLK125BPXS,SRCRC12,2,"0,9733"
ME6632L,PIP33-BLK125BPS,0,"0,9622"
MESX9667L,SFPUG09VMT,0,"0,9607"
MESX9667L,SFPUG111VMT,0,"0,9552"
ME6632XL,PIP33-BLK125BPM,-2,"0,9527"
AE82501,SFGG805PFL,0,"0,9487"
ME6632L,ME6632XL,0,"0,9387"
ME6632M,UVSVP401,0,"0,936"
MESX9667L,PIP42-874,0,"0,934"
ME6632L,PIP33-BLK125BPM,0,"0,9303"
GECS826TL,XS3M501,0,"0,9252"
AN11840-9,XGNRON,2,"0,924"
ME6632L,ME6632M,0,"0,9222"
AN16-650T9,PIP33-BLK125BPXS,0,"0,9193"
CRST1130,UVSVP401,0,"0,9178"
GECS826TL,XSAE82509TY,4,"0,9129"
CRST1130,PIP33-BLK125BPS,0,"0,9102"
3M5N11,3m6001PR,0,"0,9097"
3M1292TY,MESX200LH,0,"0,909"
ME6632M,PIP33-BLK125BPS,0,"0,9087"
PIP42-874,SFPUG09VMT,0,"0,9061"
XS3M6003-TY,XS3M7502TY,0,"0,904"
CRST1130,ME6632M,0,"0,904"
JYR-2004N,MRSR-1060NJTL,0,"0,8959"
GECS826TL,XS3M7502TY,0,"0,8957"
ME6632M,ME6632XL,0,"0,8917"
PIP42-874,SFPUG111VMT,0,"0,8861"
MOM2700,UVSVP400,0,"0,8839"
ME6632L,UVSVP401,0,"0,8834"
ME9683M,MESX200LH,0,"0,8817"
AN48-129T10,AN48-129T7,0,"0,8808"
MESX9378KCTV,XS3M501,0,"0,8786"
GIA2005B,MESX9667L,0,"0,8753"
ME6632L,UVS4040,0,"0,8677"
GIA2005B,SFPUG111VMT,0,"0,8616"
ME9683M,UVSVP400,0,"0,8575"
GIA2005B,SFPUG09VMT,0,"0,8531"
JYG37510,SFPUG09VMT,0,"0,8491"
CRST1130,ME6632L,0,"0,846"
PIP33-BLK125BPS,SRESM60V,0,"0,845"
PIP33-BLK125BPM,SRESM60V,0,"0,8395"
PIP33-BLK125BPL,PIP33-BLK125BPM,0,"0,8352"
3M1292TY,ME9683M,0,"0,8327"
ME6632L,MESX200LH,0,"0,8326"
CRST1130,PIP33-BLK125BPM,0,"0,8319"
ME6632M,PIP33-BLK125BPM,0,"0,8312"
SRESM60V,UVSVP401,0,"0,8311"
JYG37510,MESX200LH,0,"0,8302"
SRPEC60X90TY,XS3M7502TY,0,"0,83"
SRCRC12,SRCRCL,0,"0,8291"
AE82501,JYR-1521M,0,"0,8251"
JYG37510,UVSVP400,0,"0,825"
3M1292TY,JYG37510,0,"0,8242"
JYG37510,SFPUG111VMT,0,"0,8238"
JYG37510,ME9683M,0,"0,8196"
JYG37510,MESX9667L,0,"0,818"
JYR-1521M,SFGG805PFL,0,"0,8149"
SFT601,XS3M5N11,0,"0,8088"
JYR-1521M,SACFCB02,0,"0,8081"
ME9683M,MOM2700,0,"0,8046"
AE82501,XAGRPCFCGIS,0,"0,8005"
AN11840-10,SPS3960HS,0,"0,7968"
MESX200LH,UVSVP400,0,"0,7966"
JYG37510,PIP42-874,0,"0,7952"
ME6632M,UVS4040,0,"0,7941"
CRST1130,ME6632XL,0,"0,7939"
3M1292TY,MOM2700,0,"0,7907"
SFPUG111VMT,SFPUG611VMT,0,"0,7865"
CRST1130,XESB60R,0,"0,7856"
MESX200LH,MOM2700,0,"0,7853"
3M1292TY,UVSVP400,0,"0,7837"
GIA2005B,PIP42-874,0,"0,7835"
SRPEC60X90TY,XS3M6003-TY,0,"0,7833"
JYR-2004N,SRPM60X90,0,"0,7826"
SFPUG09VMT,SFPUG611VMT,0,"0,7822"
CRST1130,ME9683S,0,"0,7807"
3M501,AN11-250,0,"0,7801"
JYR-1521M,JYR-2004AZ,0,"0,7799"
3M1292TY,ME6632L,0,"0,7787"
3M6200,SRESM60V,0,"0,7785"
AN11-250,SPS700HS,0,"0,7692"
JYR-1521M,SFPUG09VMT,0,"0,7689"
SFGG805PFL,SFPUG611VMT,0,"0,7664"
CRST1130,SRESM60V,0,"0,763"
DUNB127SXL,SACFCB02,0,"0,7625"
MESX200LH,SFPUG611VMT,0,"0,7584"
ME6632XL,PIP33-BLK125BPL,0,"0,756"
AN37-175T10,SPS3960HS,0,"0,7558"
AN11840-9,SPS3960HS,0,"0,7511"
GECS826TL,PMKN95B,6,"0,5943"
