SKU,community,degree
CRST1130,0,9
ME6632L,0,9
PIP33-BLK125BPM,0,9
JYG37510,4,8
UVSVP401,0,8
SFPUG09VMT,4,7
MESX200LH,5,7
ME6632M,0,7
ME6632XL,0,7
SFPUG111VMT,4,6
PIP33-BLK125BPS,0,6
3M1292TY,5,6
UVS4040,0,5
SRESM60V,0,5
MESX9667L,4,5
AN11840-9,3,5
JYR-1521M,2,5
PIP42-874,4,5
ME9683M,5,5
UVSVP400,5,5
GIA2005B,4,4
SFPUG611VMT,4,4
GECS826TL,1,4
MOM2700,5,4
AN11840-10,3,4
AN11840-7,3,3
AN11840-8,3,3
XS3M7502TY,1,3
AE82501,2,3
SFGG805PFL,2,3
SPS3960HS,3,3
SRPEC60X90TY,1,2
AN11-250,8,2
PIP33-BLK125BPL,0,2
SRCRC12,6,2
SACFCB02,2,2
XS3M501,1,2
JYR-2004N,7,2
XS3M6003-TY,1,2
PIP33-BLK125BPXS,6,2
JYR-2004AZ,2,1
3M6200,0,1
SPS700HS,8,1
DUNB127SXL,2,1
ME9683S,0,1
SRPM60X90,7,1
XESB60R,0,1
XGNRON,3,1
3M501,8,1
3m6001PR,9,1
XAGRPCFCGIS,2,1
XS3M5N11,11,1
SFT601,11,1
SRCRCL,6,1
3M5N11,9,1
XSAE82509TY,1,1
MESX9378KCTV,1,1
AN48-129T7,10,1
AN48-129T10,10,1
AN16-650T9,6,1
PMKN95B,1,1
MRSR-1060NJTL,7,1
AN37-175T10,3,1
