Month,3M1292TY,3M501,3M5N11,3M6200,3m6001PR,AE82501,AN11-250,AN11840-10,AN11840-7,AN11840-8,AN11840-9,AN16-650T9,AN23-201T9,AN37-175T10,AN48-129T10,AN48-129T7,AN48-129T8,AN48-129T9,AUT-1024-TU,CR2310AF,CRST1130,DUNB127SXL,DUTY127SXL,GECS826TL,GIA2005B,IN2SC200,JYG37510,JYR-1521M,JYR-2004AM,JYR-2004AZ,JYR-2004B,JYR-2004N,JYR-2004R,ME5350L,ME6632L,ME6632M,ME6632XL,ME9683L,ME9683M,ME9683S,MESX200LH,MESX9378KCTV,MESX9667L,MOM2700,MRSR-1060NJTL,PIP33-BLK125BPL,PIP33-BLK125BPM,PIP33-BLK125BPS,PIP33-BLK125BPXS,PIP42-874,PIP42-874L,PMKN95B,RA99705,SACFCB02,SF1340L8,SF1340M7,SF1340S6,SF1340XL9,SF1340XS5,SFGG805PFL,SFPUG09VMT,SFPUG111T6,SFPUG111T7,SFPUG111T8,SFPUG111T9,SFPUG111VMT,SFPUG611VMT,SFT601,SPS3960HS,SPS700HS,SRCRC12,SRCRCL,SRESM60V,SRMAM,SRPEC60X90TY,SRPM60X90,UVS4040,UVSVP400,UVSVP401,XAGRPCFCGIS,XAPERC,XAPOKGIS,XESB60R,XGNRON,XS3M501,XS3M5N11,XS3M6003-TY,XS3M6004TY,XS3M7093TY,XS3M7502TY,XSAE82509TY,XSAE82701
2022-04-01,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,9,0,118,0,10,3,0,1,0,0,0,0,0,1,185,85,255,8,53,158,0,0,0,0,0,26,3,53,0,0,18,33,15,4,13,0,395,21,58,53,13,462,40,0,0,0,1,0,12,87,16,0,0,179,0,12,6,4,63,0,3,32,51,16,36,17,7,48
2022-05-01,639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,4,42,0,297,0,4,3,1,0,2,0,0,0,0,0,423,221,607,41,237,246,0,0,0,0,0,127,0,149,0,1,0,0,0,0,0,0,1595,0,0,0,0,1826,81,0,1,0,2,0,10,123,24,0,0,353,0,14,9,2,146,2,6,45,60,14,63,35,19,106
2022-06-01,727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,4,126,0,305,0,9,2,0,0,3,0,0,0,0,150,313,256,541,19,373,293,0,0,0,0,0,176,0,0,0,67,0,0,0,0,0,0,1709,0,0,0,0,1823,81,0,16,0,5,0,14,118,44,0,0,354,0,16,17,17,81,3,6,40,125,28,44,34,4,43
2022-07-01,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,11,141,0,278,0,14,7,1,1,1,0,0,0,0,168,326,267,496,15,356,324,0,0,0,0,0,191,0,0,0,61,0,0,0,0,0,0,1732,0,0,0,0,1843,94,0,16,0,4,1,10,132,46,0,0,453,0,33,30,28,116,3,17,41,86,4,67,77,15,0
2022-08-01,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,4,128,0,311,0,6,9,2,1,8,0,0,0,0,147,318,257,505,40,419,261,0,0,0,0,0,201,0,0,0,72,0,0,0,0,0,0,1758,0,0,0,0,1741,104,0,19,0,2,0,16,114,42,0,0,365,0,10,13,9,28,2,6,20,14,5,47,29,12,87
2022-09-01,597,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,57,0,0,80,0,260,0,6,13,4,3,9,0,0,0,0,160,335,225,507,19,337,246,0,0,0,0,0,184,0,184,0,84,0,0,0,0,0,0,1636,0,0,0,0,1526,116,0,19,0,1,0,13,130,32,0,0,343,0,12,14,8,36,16,6,17,57,9,50,30,15,102
2022-10-01,664,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,57,0,0,117,0,223,0,6,24,0,0,6,0,0,0,0,176,325,267,521,12,360,268,0,0,0,0,0,205,0,340,0,71,0,0,0,0,0,0,1815,0,0,0,0,1591,110,0,28,0,2,0,14,129,33,0,0,367,0,6,24,10,88,6,0,0,72,15,90,42,19,81
2022-11-01,586,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,50,0,0,123,0,233,0,7,23,2,0,6,0,0,0,0,128,334,267,457,9,459,294,0,0,0,0,0,227,0,456,0,75,0,0,0,0,0,0,2037,0,0,0,0,1765,123,0,29,0,1,0,14,125,81,0,0,363,0,17,17,4,98,0,7,37,49,24,83,41,27,114
2022-12-01,577,0,0,0,0,22,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,65,0,0,104,0,206,0,2,19,6,0,0,0,0,0,0,162,421,165,472,21,359,270,77,0,0,0,0,200,0,354,0,60,0,0,0,0,0,0,1449,0,0,0,0,1369,106,0,4,0,0,0,17,106,101,0,0,308,0,13,16,20,68,3,14,51,73,11,113,29,23,117
2023-01-01,604,38,37,41,40,9,0,0,0,0,0,0,7,23,0,0,0,0,0,32,0,60,0,0,104,0,224,10,7,22,1,1,5,0,0,0,0,179,547,55,574,31,354,360,273,0,0,0,0,200,0,405,0,88,0,0,0,0,0,20,2016,0,0,0,0,1808,154,0,54,0,1,0,15,119,87,49,0,427,0,13,9,7,115,6,19,68,72,33,123,86,19,138
