SKU_A,SKU_B,lag,Pearson_r,pair
GECS826TL,PMKN95B,-6,,GECS826TL ↔ PMKN95B
GECS826TL,PMKN95B,-5,,GECS826TL ↔ PMKN95B
GECS826TL,PMKN95B,-4,,GECS826TL ↔ PMKN95B
GECS826TL,PMKN95B,-3,,GECS826TL ↔ PMKN95B
GECS826TL,PMKN95B,-2,,GECS826TL ↔ PMKN95B
GECS826TL,PMKN95B,-1,,GECS826TL ↔ PMKN95B
GECS826TL,PMKN95B,0,,GECS826TL ↔ PMKN95B
GECS826TL,PMKN95B,1,,GECS826TL ↔ PMKN95B
GECS826TL,PMKN95B,2,,GECS826TL ↔ PMKN95B
GECS826TL,PMKN95B,3,,GECS826TL ↔ PMKN95B
GECS826TL,PMKN95B,4,,GECS826TL ↔ PMKN95B
GECS826TL,PMKN95B,5,0.0681,GECS826TL ↔ PMKN95B
GECS826TL,PMKN95B,6,0.5943,GECS826TL ↔ PMKN95B
AN11840-7,AN11840-8,-6,-0.2803,AN11840-7 ↔ AN11840-8
AN11840-7,AN11840-8,-5,-0.1037,AN11840-7 ↔ AN11840-8
AN11840-7,AN11840-8,-4,0.1536,AN11840-7 ↔ AN11840-8
AN11840-7,AN11840-8,-3,0.062,AN11840-7 ↔ AN11840-8
AN11840-7,AN11840-8,-2,0.4053,AN11840-7 ↔ AN11840-8
AN11840-7,AN11840-8,-1,-0.2838,AN11840-7 ↔ AN11840-8
AN11840-7,AN11840-8,0,0.9992,AN11840-7 ↔ AN11840-8
AN11840-7,AN11840-8,1,-0.3738,AN11840-7 ↔ AN11840-8
AN11840-7,AN11840-8,2,0.3097,AN11840-7 ↔ AN11840-8
AN11840-7,AN11840-8,3,0.6503,AN11840-7 ↔ AN11840-8
AN11840-7,AN11840-8,4,0.0543,AN11840-7 ↔ AN11840-8
AN11840-7,AN11840-8,5,-0.0684,AN11840-7 ↔ AN11840-8
AN11840-7,AN11840-8,6,-0.2423,AN11840-7 ↔ AN11840-8
AN11840-7,AN11840-9,-6,-0.2646,AN11840-7 ↔ AN11840-9
AN11840-7,AN11840-9,-5,-0.1278,AN11840-7 ↔ AN11840-9
AN11840-7,AN11840-9,-4,0.1503,AN11840-7 ↔ AN11840-9
AN11840-7,AN11840-9,-3,0.0671,AN11840-7 ↔ AN11840-9
AN11840-7,AN11840-9,-2,0.4018,AN11840-7 ↔ AN11840-9
AN11840-7,AN11840-9,-1,-0.3028,AN11840-7 ↔ AN11840-9
AN11840-7,AN11840-9,0,0.9981,AN11840-7 ↔ AN11840-9
AN11840-7,AN11840-9,1,-0.3057,AN11840-7 ↔ AN11840-9
AN11840-7,AN11840-9,2,0.4903,AN11840-7 ↔ AN11840-9
AN11840-7,AN11840-9,3,0.0804,AN11840-7 ↔ AN11840-9
AN11840-7,AN11840-9,4,0.1548,AN11840-7 ↔ AN11840-9
AN11840-7,AN11840-9,5,-0.1116,AN11840-7 ↔ AN11840-9
AN11840-7,AN11840-9,6,-0.2765,AN11840-7 ↔ AN11840-9
AN11840-8,AN11840-9,-6,-0.2162,AN11840-8 ↔ AN11840-9
AN11840-8,AN11840-9,-5,-0.0861,AN11840-8 ↔ AN11840-9
AN11840-8,AN11840-9,-4,0.0462,AN11840-8 ↔ AN11840-9
AN11840-8,AN11840-9,-3,0.6523,AN11840-8 ↔ AN11840-9
AN11840-8,AN11840-9,-2,0.2916,AN11840-8 ↔ AN11840-9
AN11840-8,AN11840-9,-1,-0.3635,AN11840-8 ↔ AN11840-9
AN11840-8,AN11840-9,0,0.9977,AN11840-8 ↔ AN11840-9
AN11840-8,AN11840-9,1,-0.2951,AN11840-8 ↔ AN11840-9
AN11840-8,AN11840-9,2,0.4747,AN11840-8 ↔ AN11840-9
AN11840-8,AN11840-9,3,0.0822,AN11840-8 ↔ AN11840-9
AN11840-8,AN11840-9,4,0.1532,AN11840-8 ↔ AN11840-9
AN11840-8,AN11840-9,5,-0.1031,AN11840-8 ↔ AN11840-9
AN11840-8,AN11840-9,6,-0.2778,AN11840-8 ↔ AN11840-9
AN11840-10,AN11840-9,-6,-0.2197,AN11840-10 ↔ AN11840-9
AN11840-10,AN11840-9,-5,-0.1828,AN11840-10 ↔ AN11840-9
AN11840-10,AN11840-9,-4,0.453,AN11840-10 ↔ AN11840-9
AN11840-10,AN11840-9,-3,0.1114,AN11840-10 ↔ AN11840-9
AN11840-10,AN11840-9,-2,0.4685,AN11840-10 ↔ AN11840-9
AN11840-10,AN11840-9,-1,-0.2678,AN11840-10 ↔ AN11840-9
