SKU_A,SKU_B,Pearson_r,dominant_lag,is_lead_lag,community_A,community_B,lag_label,community_A_label,community_B_label,r_pct
GECS826TL,PMKN95B,1.0,6,1,1,1,SKU_B leads SKU_A by 6m,Community 2,Community 2,100.0
GECS826TL,XS3M501,0.9252,0,0,1,1,Contemporaneous,Community 2,Community 2,92.5
GECS826TL,XS3M7502TY,0.8957,0,0,1,1,Contemporaneous,Community 2,Community 2,89.6
GECS826TL,XSAE82509TY,0.8393,4,1,1,1,SKU_B leads SKU_A by 4m,Community 2,Community 2,83.9
AN11840-7,AN11840-8,0.9992,0,0,3,3,Contemporaneous,Community 4,Community 4,99.9
AN11840-7,AN11840-9,0.9981,0,0,3,3,Contemporaneous,Community 4,Community 4,99.8
AN11840-7,AN11840-10,0.9959,0,0,3,3,Contemporaneous,Community 4,Community 4,99.6
AN11840-8,AN11840-9,0.9977,0,0,3,3,Contemporaneous,Community 4,Community 4,99.8
AN11840-8,AN11840-10,0.9957,0,0,3,3,Contemporaneous,Community 4,Community 4,99.6
AN11840-9,AN11840-10,0.9968,0,0,3,3,Contemporaneous,Community 4,Community 4,99.7
AN11840-9,XGNRON,0.7902,2,1,3,3,SKU_B leads SKU_A by 2m,Community 4,Community 4,79.0
AN11840-9,SPS3960HS,0.7511,0,0,3,3,Contemporaneous,Community 4,Community 4,75.1
AN11840-10,SPS3960HS,0.7968,0,0,3,3,Contemporaneous,Community 4,Community 4,79.7
PIP33-BLK125BPM,PIP33-BLK125BPS,0.9946,0,0,0,0,Contemporaneous,Community 1,Community 1,99.5
PIP33-BLK125BPM,UVSVP401,0.9889,0,0,0,0,Contemporaneous,Community 1,Community 1,98.9
PIP33-BLK125BPM,ME6632L,0.9303,0,0,0,0,Contemporaneous,Community 1,Community 1,93.0
PIP33-BLK125BPM,ME6632XL,0.923,-2,1,0,0,SKU_A leads SKU_B by 2m,Community 1,Community 1,92.3
PIP33-BLK125BPM,UVS4040,0.8811,2,1,0,0,SKU_B leads SKU_A by 2m,Community 1,Community 1,88.1
PIP33-BLK125BPM,SRESM60V,0.8395,0,0,0,0,Contemporaneous,Community 1,Community 1,84.0
PIP33-BLK125BPM,PIP33-BLK125BPL,0.8352,0,0,0,0,Contemporaneous,Community 1,Community 1,83.5
PIP33-BLK125BPM,CRST1130,0.8319,0,0,0,0,Contemporaneous,Community 1,Community 1,83.2
PIP33-BLK125BPM,ME6632M,0.8312,0,0,0,0,Contemporaneous,Community 1,Community 1,83.1
PIP33-BLK125BPS,UVSVP401,0.9923,0,0,0,0,Contemporaneous,Community 1,Community 1,99.2
PIP33-BLK125BPS,ME6632L,0.9622,0,0,0,0,Contemporaneous,Community 1,Community 1,96.2
PIP33-BLK125BPS,CRST1130,0.9102,0,0,0,0,Contemporaneous,Community 1,Community 1,91.0
PIP33-BLK125BPS,ME6632M,0.9087,0,0,0,0,Contemporaneous,Community 1,Community 1,90.9
PIP33-BLK125BPS,SRESM60V,0.845,0,0,0,0,Contemporaneous,Community 1,Community 1,84.5
SFPUG09VMT,SFPUG111VMT,0.9924,0,0,4,4,Contemporaneous,Community 5,Community 5,99.2
SFPUG09VMT,MESX9667L,0.9607,0,0,4,4,Contemporaneous,Community 5,Community 5,96.1
SFPUG09VMT,PIP42-874,0.9061,0,0,4,4,Contemporaneous,Community 5,Community 5,90.6
SFPUG09VMT,GIA2005B,0.8531,0,0,4,4,Contemporaneous,Community 5,Community 5,85.3
SFPUG09VMT,JYG37510,0.8491,0,0,4,4,Contemporaneous,Community 5,Community 5,84.9
SFPUG09VMT,SFPUG611VMT,0.7822,0,0,4,4,Contemporaneous,Community 5,Community 5,78.2
SFPUG09VMT,JYR-1521M,0.7689,0,0,4,2,Contemporaneous,Community 5,Community 3,76.9
SFPUG111VMT,MESX9667L,0.9552,0,0,4,4,Contemporaneous,Community 5,Community 5,95.5
SFPUG111VMT,PIP42-874,0.8861,0,0,4,4,Contemporaneous,Community 5,Community 5,88.6
SFPUG111VMT,GIA2005B,0.8616,0,0,4,4,Contemporaneous,Community 5,Community 5,86.2
SFPUG111VMT,JYG37510,0.8238,0,0,4,4,Contemporaneous,Community 5,Community 5,82.4
SFPUG111VMT,SFPUG611VMT,0.7865,0,0,4,4,Contemporaneous,Community 5,Community 5,78.6
UVSVP401,ME6632M,0.936,0,0,0,0,Contemporaneous,Community 1,Community 1,93.6
UVSVP401,ME6632XL,0.9338,-2,1,0,0,SKU_A leads SKU_B by 2m,Community 1,Community 1,93.4
UVSVP401,CRST1130,0.9178,0,0,0,0,Contemporaneous,Community 1,Community 1,91.8
UVSVP401,ME6632L,0.8834,0,0,0,0,Contemporaneous,Community 1,Community 1,88.3
UVSVP401,UVS4040,0.8778,-2,1,0,0,SKU_A leads SKU_B by 2m,Community 1,Community 1,87.8
UVSVP401,SRESM60V,0.8311,0,0,0,0,Contemporaneous,Community 1,Community 1,83.1
ME6632XL,UVS4040,0.9784,0,0,0,0,Contemporaneous,Community 1,Community 1,97.8
ME6632XL,ME6632L,0.9387,0,0,0,0,Contemporaneous,Community 1,Community 1,93.9
ME6632XL,ME6632M,0.8917,0,0,0,0,Contemporaneous,Community 1,Community 1,89.2
ME6632XL,CRST1130,0.7939,0,0,0,0,Contemporaneous,Community 1,Community 1,79.4
ME6632XL,PIP33-BLK125BPL,0.756,0,0,0,0,Contemporaneous,Community 1,Community 1,75.6
UVS4040,ME6632L,0.8677,0,0,0,0,Contemporaneous,Community 1,Community 1,86.8
UVS4040,ME6632M,0.7941,0,0,0,0,Contemporaneous,Community 1,Community 1,79.4
ME6632L,ME6632M,0.9222,0,0,0,0,Contemporaneous,Community 1,Community 1,92.2
ME6632L,CRST1130,0.846,0,0,0,0,Contemporaneous,Community 1,Community 1,84.6
ME6632L,MESX200LH,0.8326,0,0,0,5,Contemporaneous,Community 1,Community 6,83.3
ME6632L,3M1292TY,0.7787,0,0,0,5,Contemporaneous,Community 1,Community 6,77.9
MESX9667L,PIP42-874,0.934,0,0,4,4,Contemporaneous,Community 5,Community 5,93.4
MESX9667L,GIA2005B,0.8753,0,0,4,4,Contemporaneous,Community 5,Community 5,87.5
MESX9667L,JYG37510,0.818,0,0,4,4,Contemporaneous,Community 5,Community 5,81.8
AE82501,SFGG805PFL,0.9487,0,0,2,2,Contemporaneous,Community 3,Community 3,94.9
AE82501,JYR-1521M,0.8251,0,0,2,2,Contemporaneous,Community 3,Community 3,82.5
AE82501,XAGRPCFCGIS,0.8005,0,0,2,2,Contemporaneous,Community 3,Community 3,80.0
SFGG805PFL,JYR-1521M,0.8149,0,0,2,2,Contemporaneous,Community 3,Community 3,81.5
SFGG805PFL,SFPUG611VMT,0.7664,0,0,2,4,Contemporaneous,Community 3,Community 5,76.6
ME6632M,CRST1130,0.904,0,0,0,0,Contemporaneous,Community 1,Community 1,90.4
PIP42-874,JYG37510,0.7952,0,0,4,4,Contemporaneous,Community 5,Community 5,79.5
PIP42-874,GIA2005B,0.7835,0,0,4,4,Contemporaneous,Community 5,Community 5,78.4
XS3M501,MESX9378KCTV,0.8786,0,0,1,1,Contemporaneous,Community 2,Community 2,87.9
AN16-650T9,PIP33-BLK125BPXS,0.9193,0,0,6,6,Contemporaneous,Community 7,Community 7,91.9
PIP33-BLK125BPXS,SRCRC12,0.8513,2,1,6,6,SKU_B leads SKU_A by 2m,Community 7,Community 7,85.1
CRST1130,XESB60R,0.7856,0,0,0,0,Contemporaneous,Community 1,Community 1,78.6
CRST1130,ME9683S,0.7807,0,0,0,0,Contemporaneous,Community 1,Community 1,78.1
CRST1130,SRESM60V,0.763,0,0,0,0,Contemporaneous,Community 1,Community 1,76.3
3M5N11,3m6001PR,0.9097,0,0,9,9,Contemporaneous,Community 10,Community 10,91.0
3M1292TY,MESX200LH,0.909,0,0,5,5,Contemporaneous,Community 6,Community 6,90.9
3M1292TY,ME9683M,0.8327,0,0,5,5,Contemporaneous,Community 6,Community 6,83.3
3M1292TY,JYG37510,0.8242,0,0,5,4,Contemporaneous,Community 6,Community 5,82.4
3M1292TY,MOM2700,0.7907,0,0,5,5,Contemporaneous,Community 6,Community 6,79.1
3M1292TY,UVSVP400,0.7837,0,0,5,5,Contemporaneous,Community 6,Community 6,78.4
MESX200LH,ME9683M,0.8817,0,0,5,5,Contemporaneous,Community 6,Community 6,88.2
MESX200LH,JYG37510,0.8302,0,0,5,4,Contemporaneous,Community 6,Community 5,83.0
MESX200LH,UVSVP400,0.7966,0,0,5,5,Contemporaneous,Community 6,Community 6,79.7
