row_id,SKU_A,SKU_B,raw_r,growth_r,pair,quadrant
0,3M1292TY,3M501,0.7078,0.2332,3M1292TY vs 3M501,Weak
1,3M1292TY,3M5N11,-0.0325,0.0896,3M1292TY vs 3M5N11,Weak
2,3M1292TY,3M6200,-0.0902,0.038,3M1292TY vs 3M6200,Weak
3,3M1292TY,3m6001PR,-0.0164,0.1433,3M1292TY vs 3m6001PR,Weak
4,3M1292TY,AE82501,0.3798,0.3412,3M1292TY vs AE82501,Weak
5,3M1292TY,AN11-250,0.9239,0.5793,3M1292TY vs AN11-250,Spurious (trend only)
6,3M1292TY,AN11840-10,0.5668,0.0664,3M1292TY vs AN11840-10,Weak
7,3M1292TY,AN11840-7,0.7947,0.0027,3M1292TY vs AN11840-7,Spurious (trend only)
8,3M1292TY,AN11840-8,0.8614,0.0114,3M1292TY vs AN11840-8,Spurious (trend only)
9,3M1292TY,AN11840-9,0.8396,0.0377,3M1292TY vs AN11840-9,Spurious (trend only)
10,3M1292TY,AN16-650T9,0.6682,0.2971,3M1292TY vs AN16-650T9,Weak
11,3M1292TY,AN23-201T9,-0.492,-0.4505,3M1292TY vs AN23-201T9,Weak
12,3M1292TY,AN37-175T10,0.4183,0.1889,3M1292TY vs AN37-175T10,Weak
13,3M1292TY,AN48-129T10,0.8018,0.0623,3M1292TY vs AN48-129T10,Spurious (trend only)
14,3M1292TY,AN48-129T7,0.8464,0.1628,3M1292TY vs AN48-129T7,Spurious (trend only)
15,3M1292TY,AN48-129T8,0.8587,0.0829,3M1292TY vs AN48-129T8,Spurious (trend only)
16,3M1292TY,AN48-129T9,0.8575,0.2815,3M1292TY vs AN48-129T9,Spurious (trend only)
17,3M1292TY,CR2310AF,-0.0214,0.2384,3M1292TY vs CR2310AF,Weak
18,3M1292TY,CRST1130,0.8103,0.6347,3M1292TY vs CRST1130,Spurious (trend only)
19,3M1292TY,DUNB127SXL,-0.2221,0.2507,3M1292TY vs DUNB127SXL,Weak
20,3M1292TY,GECS826TL,-0.2421,0.2195,3M1292TY vs GECS826TL,Weak
21,3M1292TY,GIA2005B,-0.2324,0.503,3M1292TY vs GIA2005B,Weak
22,3M1292TY,JYG37510,-0.3151,0.8242,3M1292TY vs JYG37510,Hidden (only in growth)
23,3M1292TY,JYR-1521M,0.552,0.459,3M1292TY vs JYR-1521M,Weak
24,3M1292TY,JYR-2004AM,-0.4695,-0.0542,3M1292TY vs JYR-2004AM,Weak
25,3M1292TY,JYR-2004AZ,0.3426,0.3535,3M1292TY vs JYR-2004AZ,Weak
26,3M1292TY,JYR-2004B,-0.1093,-0.0094,3M1292TY vs JYR-2004B,Weak
27,3M1292TY,JYR-2004N,0.3602,0.1445,3M1292TY vs JYR-2004N,Weak
28,3M1292TY,JYR-2004R,-0.1747,0.3492,3M1292TY vs JYR-2004R,Weak
29,3M1292TY,ME6632L,0.9537,0.7787,3M1292TY vs ME6632L,Genuine (strong in both)
30,3M1292TY,ME6632M,0.9536,0.5177,3M1292TY vs ME6632M,Spurious (trend only)
31,3M1292TY,ME6632XL,0.9509,0.1798,3M1292TY vs ME6632XL,Spurious (trend only)
32,3M1292TY,ME9683L,0.8706,0.2684,3M1292TY vs ME9683L,Spurious (trend only)
33,3M1292TY,ME9683M,0.8817,0.8327,3M1292TY vs ME9683M,Genuine (strong in both)
34,3M1292TY,ME9683S,0.8862,0.5517,3M1292TY vs ME9683S,Spurious (trend only)
35,3M1292TY,MESX200LH,0.7552,0.909,3M1292TY vs MESX200LH,Genuine (strong in both)
36,3M1292TY,MESX9378KCTV,0.7668,0.2267,3M1292TY vs MESX9378KCTV,Spurious (trend only)
37,3M1292TY,MESX9667L,-0.1287,0.6403,3M1292TY vs MESX9667L,Weak
38,3M1292TY,MOM2700,0.6339,0.7907,3M1292TY vs MOM2700,Hidden (only in growth)
39,3M1292TY,MRSR-1060NJTL,0.1463,0.3946,3M1292TY vs MRSR-1060NJTL,Weak
40,3M1292TY,PIP33-BLK125BPL,0.9361,0.6714,3M1292TY vs PIP33-BLK125BPL,Spurious (trend only)
41,3M1292TY,PIP33-BLK125BPM,0.9597,0.2967,3M1292TY vs PIP33-BLK125BPM,Spurious (trend only)
42,3M1292TY,PIP33-BLK125BPS,0.9612,0.2663,3M1292TY vs PIP33-BLK125BPS,Spurious (trend only)
